inventoryid,vendorid,vpl_name,code,category,sub_category,part_no,display_website,product_name,cost,usd_cpu,commission_price,markup_perc,current_inventory,write_offs,min_max,status,note,description,comment,question,request,quote_description,size,weight,type,name,usd_invoice,shipping_rate,shipping_cash,exchange_rate,exchange_cash,location,id_number,operator,lsd,quantity,inv_variance,average_cost,asset,revenue,buying_units,selling_units,stocking_units,preferred_price,web_price,cdn_cpu,cogs_total,date_of_purchase,purchase_cost,sell_price,markup,freight_charge,min_bin,current_stock,final_retail_price,admin_price,wholesale_price,commercial_price,client_price,minimum_billable,estimated_hours,actual_hours,msrp,unit_price,unit_cost,rent_price,rental_days,rental_weeks,rental_months,rental_years,reminder_alert,daily,weekly,monthly,annually,total_days,total_hours,total_km,total_miles,deleted,purchase_order_price,sales_order_price,include_in_pos,include_in_so,include_in_po
2033,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,S,,,"CRUSHER JERSEY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2034,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,M,,,"CRUSHER JERSEY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2035,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,L,,,"CRUSHER JERSEY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2036,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,XL,,,"CRUSHER JERSEY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2037,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,XXL,,,"CRUSHER JERSEY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2038,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,S,,,"CRUSHER JERSEY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2039,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,M,,,"CRUSHER JERSEY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2040,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,L,,,"CRUSHER JERSEY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2041,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,XL,,,"CRUSHER JERSEY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
2042,7354,TESTING123,,"Asics Products",Men's,,No,,,,,,,,,,,,,,,,XXL,,,"CRUSHER JERSEY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,24.00,,,,,,,,,,,,,,,,0,,,,,
